time,symbol,position_direction,action,entry_type,entry_price,exit_price,qty,pnl_usdt,pnl_pct,exit_reason,entry_adx,entry_atr
2026-03-19 09:00:06,ETHUSDT,LONG,ENTRY,A,2201.77,0.0,31.3,0.0,0.0,,29.002296909831863,10.18428571428574
2026-03-19 10:15:05,ETHUSDT,LONG,EXIT,A,2201.77,2190.68,31.3,-347.11700000000457,-0.5036856710737336,추세이탈,29.002296909831863,10.18428571428574
2026-03-19 11:30:12,ETHUSDT,LONG,ENTRY,B,2200.41,0.0,31.17,0.0,0.0,,19.599565798574226,8.864285714285643
2026-03-19 12:35:09,ETHUSDT,LONG,EXIT,B,2200.41,2218.15,31.17,552.9558000000075,0.8062133875050667,트레일링,19.599565798574226,8.864285714285643
2026-03-19 12:35:32,BTCUSDT,LONG,ENTRY,A,71274.8,0.0,0.964,0.0,0.0,,23.41588256655868,199.47857142857018
2026-03-19 13:07:25,BTCUSDT,LONG,EXIT,A,71274.8,70853.0,0.964,-406.6152000000028,-0.591794014153674,손절,23.41588256655868,199.47857142857018
2026-03-19 15:45:21,XRPUSDT,LONG,ENTRY,B,1.4689,0.0,46736.8,0.0,0.0,,20.150695743353594,0.007421428571428547
2026-03-19 16:16:16,XRPUSDT,LONG,EXIT,B,1.4689,1.458,46736.8,-509.4311200000062,-0.742051875553144,손절,20.150695743353594,0.007421428571428547
2026-03-20 00:30:14,BTCUSDT,SHORT,ENTRY,B,69180.8,0.0,0.978,0.0,0.0,,41.99019925696852,448.11428571428405
2026-03-20 02:53:13,BTCUSDT,SHORT,EXIT,B,69180.8,69877.2,0.978,-681.0791999999943,-1.0066376798186696,손절,41.99019925696852,448.11428571428405
2026-03-20 04:30:03,ETHUSDT,LONG,ENTRY,A,2143.32,0.0,31.53,0.0,0.0,,21.725085961940003,13.624285714285666
2026-03-20 11:01:29,ETHUSDT,LONG,EXIT,A,2143.32,2146.28,31.53,93.32880000000115,0.13810350297669205,트레일링,21.725085961940003,13.624285714285666
2026-03-20 16:15:08,BTCUSDT,SHORT,ENTRY,A,70242.2,0.0,0.967,0.0,0.0,,25.96083334991391,206.87857142856956
2026-03-20 16:34:12,BTCUSDT,SHORT,EXIT,A,70242.2,70558.7,0.967,-306.0555,-0.4505838370666067,손절,25.96083334991391,206.87857142856956
2026-03-20 17:15:09,ETHUSDT,LONG,ENTRY,A,2169.37,0.0,31.22,0.0,0.0,,28.44618267637918,10.606428571428589
